record_id,source_type,source,title,event_date,content,mentioned_entity,read_count,comment_count,url
COMM_000832,comment,东方财富股吧,浦发经常冲高回落，这种票有什么用，跌也没见回落冲高,2026-06-05,浦发经常冲高回落，这种票有什么用，跌也没见回落冲高,浦发银行(600000),86,4,"https://guba.eastmoney.com/news,600000,1721162545.html"
COMM_000833,comment,东方财富股吧,我11赚三个点卖的、看来是卖对了,2026-06-05,我11赚三个点卖的、看来是卖对了,浦发银行(600000),37,0,"https://guba.eastmoney.com/news,600000,1721317971.html"
COMM_000834,comment,东方财富股吧,你就是垃圾股,2026-06-05,你就是垃圾股,浦发银行(600000),36,0,"https://guba.eastmoney.com/news,600000,1721308473.html"
COMM_000835,comment,东方财富股吧,震仓洗盘，昨天今天进来的机构资金没有出去，下午拉升，耐心等待,2026-06-05,震仓洗盘，昨天今天进来的机构资金没有出去，下午拉升，耐心等待,浦发银行(600000),118,8,"https://guba.eastmoney.com/news,600000,1721156312.html"
COMM_000836,comment,东方财富股吧,太保，海通都小涨今天，撑指数，这浦发今天估计绿不了,2026-06-08,太保，海通都小涨今天，撑指数，这浦发今天估计绿不了,浦发银行(600000),23,0,"https://guba.eastmoney.com/news,600000,1722346450.html"
COMM_000837,comment,东方财富股吧,拿住了，就不信了，主力有那么多钱天天拉CPO，大科技,2026-06-08,拿住了，就不信了，主力有那么多钱天天拉CPO，大科技,浦发银行(600000),27,0,"https://guba.eastmoney.com/news,600000,1722268318.html"
COMM_000838,comment,东方财富股吧,宗甚！,2026-06-08,宗甚！,浦发银行(600000),17,0,"https://guba.eastmoney.com/news,600000,1722235740.html"
COMM_000839,comment,东方财富股吧,这苟妆一点格局没有的，非要逼人割肉才罢休，老子就是不割！,2026-06-08,这苟妆一点格局没有的，非要逼人割肉才罢休，老子就是不割！,浦发银行(600000),21,0,"https://guba.eastmoney.com/news,600000,1722124159.html"
COMM_000840,comment,东方财富股吧,垃圾,2026-06-08,垃圾,浦发银行(600000),30,0,"https://guba.eastmoney.com/news,600000,1722106907.html"
COMM_000841,comment,东方财富股吧,哈哈哈，cpo起来了,2026-06-08,哈哈哈，cpo起来了,浦发银行(600000),23,0,"https://guba.eastmoney.com/news,600000,1722089180.html"
