source,title,publish_time,stock_or_entity,content,read_count,comment_count,url,crawl_time
东方财富股吧,动态市盈率不到4，四年不到再赚一个平安。现在进简直就是捡钱啊,06-05 06:37,平安银行(000001),动态市盈率不到4，四年不到再赚一个平安。现在进简直就是捡钱啊,247,3,"https://guba.eastmoney.com/news,000001,1721730695.html",2026-06-08 14:35:32
东方财富股吧,细品，中证金，北向为什么拼命往外跑，而散户们不惜本金流失也要分红呢？26年的分红,06-04 10:19,平安银行(000001),细品，中证金，北向为什么拼命往外跑，而散户们不惜本金流失也要分红呢？26年的分红,401,8,"https://guba.eastmoney.com/news,000001,1720948353.html",2026-06-08 14:35:32
东方财富股吧,下周或许会到11.6+,06-05 01:52,平安银行(000001),下周或许会到11.6+,237,4,"https://guba.eastmoney.com/news,000001,1721513232.html",2026-06-08 14:35:32
东方财富股吧,大银行没有长的，也就平安了,06-05 05:17,平安银行(000001),大银行没有长的，也就平安了,83,1,"https://guba.eastmoney.com/news,000001,1721710325.html",2026-06-08 14:35:32
东方财富股吧,A50指数，有重要调整,06-03 09:15,平安银行(000001),A50指数，有重要调整,15167,39,"https://guba.eastmoney.com/news,hk03986,1720055290.html",2026-06-08 14:35:32
东方财富股吧,平安银行:2025年年度权益分派实施公告,06-04 06:54,平安银行(000001),平安银行:2025年年度权益分派实施公告,1006,31,"https://guba.eastmoney.com/news,000001,1720887624.html",2026-06-08 14:35:32
东方财富股吧,江苏，南京都超过你了,06-05 01:39,平安银行(000001),江苏，南京都超过你了,106,3,"https://guba.eastmoney.com/news,000001,1721493018.html",2026-06-08 14:35:32
东方财富股吧,看来得注意了A50ETF被动盘出逃那天收盘前有机会捡点低价筹码吗？,06-05 03:07,平安银行(000001),看来得注意了A50ETF被动盘出逃那天收盘前有机会捡点低价筹码吗？,65,0,"https://guba.eastmoney.com/news,000001,1721655800.html",2026-06-08 14:35:32
东方财富股吧,平安银行真不涨啊，只能每天踢它一脚平安银行盘子太大，没有游资炒它。只能自己想办法,04-11 04:53,平安银行(000001),平安银行真不涨啊，只能每天踢它一脚平安银行盘子太大，没有游资炒它。只能自己想办法,1644,49,"https://guba.eastmoney.com/news,000001,1692002029.html",2026-06-08 14:35:32
东方财富股吧,$平安银行(SZ000001)$,06-05 02:58,平安银行(000001),$平安银行(SZ000001)$,47,0,"https://guba.eastmoney.com/news,000001,1721642994.html",2026-06-08 14:35:32
东方财富股吧,$平安银行(SZ000001)$,06-05 02:57,平安银行(000001),$平安银行(SZ000001)$,43,0,"https://guba.eastmoney.com/news,000001,1721641980.html",2026-06-08 14:35:32
东方财富股吧,辛苦钱投入，有去无回,06-05 02:56,平安银行(000001),辛苦钱投入，有去无回,49,0,"https://guba.eastmoney.com/news,000001,1721640539.html",2026-06-08 14:35:32
东方财富股吧,只有投入，没有回报！,06-05 02:54,平安银行(000001),只有投入，没有回报！,44,0,"https://guba.eastmoney.com/news,000001,1721635709.html",2026-06-08 14:35:32
东方财富股吧,梭哈是一种智慧,05-28 02:41,平安银行(000001),梭哈是一种智慧,54,0,"https://guba.eastmoney.com/news,000001,1716479598.html",2026-06-08 14:35:32
东方财富股吧,分完红9.88能买上吗,06-04 09:35,平安银行(000001),分完红9.88能买上吗,166,5,"https://guba.eastmoney.com/news,000001,1720932808.html",2026-06-08 14:35:32
东方财富股吧,昨个儿四千多家绿，指数红了…今儿四千多见红了指数大部分绿了！午后二小时自由发挥可,06-05 02:19,平安银行(000001),昨个儿四千多家绿，指数红了…今儿四千多见红了指数大部分绿了！午后二小时自由发挥可,59,0,"https://guba.eastmoney.com/news,000001,1721562748.html",2026-06-08 14:35:32
东方财富股吧,怎么不动了？,06-05 11:12,平安银行(000001),怎么不动了？,117,4,"https://guba.eastmoney.com/news,000001,1721347830.html",2026-06-08 14:35:32
东方财富股吧,平安银行这股价真对不起它证券代码！,06-05 01:57,平安银行(000001),平安银行这股价真对不起它证券代码！,44,0,"https://guba.eastmoney.com/news,000001,1721522609.html",2026-06-08 14:35:32
东方财富股吧,快点分红，拖拖拉拉，我持股满1年了，分我自己的钱，还好不用缴税了。,06-04 06:59,平安银行(000001),快点分红，拖拖拉拉，我持股满1年了，分我自己的钱，还好不用缴税了。,432,25,"https://guba.eastmoney.com/news,000001,1720889149.html",2026-06-08 14:35:32
东方财富股吧,除了息pe又得降低了。,06-04 08:15,平安银行(000001),除了息pe又得降低了。,78,0,"https://guba.eastmoney.com/news,000001,1720909174.html",2026-06-08 14:35:32
东方财富股吧,昨天卖了就涨,06-05 12:20,平安银行(000001),昨天卖了就涨,112,3,"https://guba.eastmoney.com/news,000001,1721403882.html",2026-06-08 14:35:32
东方财富股吧,大家都坐等分猪肉，分我手上，不会是带毛的吧？,06-05 11:04,平安银行(000001),大家都坐等分猪肉，分我手上，不会是带毛的吧？,186,5,"https://guba.eastmoney.com/news,000001,1721332383.html",2026-06-08 14:35:32
东方财富股吧,别装了,06-05 10:27,平安银行(000001),别装了,52,3,"https://guba.eastmoney.com/news,000001,1721252856.html",2026-06-08 14:35:32
东方财富股吧,宁可追高，小心抄底，就算分了带毛猪肉，也拼了！,06-05 01:02,平安银行(000001),宁可追高，小心抄底，就算分了带毛猪肉，也拼了！,42,0,"https://guba.eastmoney.com/news,000001,1721422665.html",2026-06-08 14:35:32
东方财富股吧,平安目前投资应该是最安全的，当然这说的是持有半年到一年的投资者，现在买入到明年这,06-05 10:39,平安银行(000001),平安目前投资应该是最安全的，当然这说的是持有半年到一年的投资者，现在买入到明年这,379,7,"https://guba.eastmoney.com/news,000001,1721280867.html",2026-06-08 14:35:32
东方财富股吧,牛啊，涨停来一个,06-05 11:29,平安银行(000001),牛啊，涨停来一个,54,1,"https://guba.eastmoney.com/news,000001,1721378126.html",2026-06-08 14:35:32
东方财富股吧,A股上市银行分红季来了 2025年度分红总额有望创下历史新高,06-03 04:14,平安银行(000001),A股上市银行分红季来了 2025年度分红总额有望创下历史新高,6646,15,"https://guba.eastmoney.com/news,601998,1719969866.html",2026-06-08 14:35:33
东方财富股吧,三年存贷款量不增，规模不增何来业绩？！看华夏银行，每年存贷量都大增，业绩自然会好,05-29 10:45,平安银行(000001),三年存贷款量不增，规模不增何来业绩？！看华夏银行，每年存贷量都大增，业绩自然会好,70,1,"https://guba.eastmoney.com/news,000001,1717020487.html",2026-06-08 14:35:33
东方财富股吧,短线户别来凑热闹就好了,06-05 12:48,平安银行(000001),短线户别来凑热闹就好了,118,8,"https://guba.eastmoney.com/news,000001,1720974080.html",2026-06-08 14:35:33
东方财富股吧,高中签率新股来了：惠科股份，001399，记得要申购哦！！！,06-04 09:21,平安银行(000001),高中签率新股来了：惠科股份，001399，记得要申购哦！！！,4510,9,"https://guba.eastmoney.com/news,001399,1720152786.html",2026-06-08 14:35:33
东方财富股吧,涨了就卖,06-05 10:56,平安银行(000001),涨了就卖,35,0,"https://guba.eastmoney.com/news,000001,1721317475.html",2026-06-08 14:35:33
东方财富股吧,平安银行，严重破净股，净利增长，超过五个点的股息率，不到五倍的市盈率。想做空这样,06-05 10:18,平安银行(000001),平安银行，严重破净股，净利增长，超过五个点的股息率，不到五倍的市盈率。想做空这样,191,2,"https://guba.eastmoney.com/news,000001,1721229503.html",2026-06-08 14:35:33
东方财富股吧,大家成本多少？接下来还要不要补仓平安银行，请高手指点。,05-28 06:38,平安银行(000001),大家成本多少？接下来还要不要补仓平安银行，请高手指点。,1752,24,"https://guba.eastmoney.com/news,000001,1716604174.html",2026-06-08 14:35:33
东方财富股吧,加油，争取上榜一,06-05 10:15,平安银行(000001),加油，争取上榜一,47,1,"https://guba.eastmoney.com/news,000001,1721222442.html",2026-06-08 14:35:33
东方财富股吧,他奶奶的，你们不是说这两天要砸到9块钱吗？害得我昨天没加仓,06-05 10:13,平安银行(000001),他奶奶的，你们不是说这两天要砸到9块钱吗？害得我昨天没加仓,142,2,"https://guba.eastmoney.com/news,000001,1721215940.html",2026-06-08 14:35:33
东方财富股吧,下来吧别装了,06-05 10:28,平安银行(000001),下来吧别装了,41,0,"https://guba.eastmoney.com/news,000001,1721255306.html",2026-06-08 14:35:33
